"task_id","best_run","B0_hat","sigma_beta_hat","filter_seed","Np","final_pf_logLik","n_filter_times","estimate_semantics","conditioning","parameter_uncertainty_integrated","sampled_trajectory_used_for_metrics"
157,5,4.29130634754226,0.227762550058149,177260900,50000,-211.064314245235,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
158,1,3.42262272952002,0.303288987819251,178260900,50000,-191.771269647928,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
159,8,4.62465544420535,0.221702414403497,179260900,50000,-201.229020646932,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
160,3,3.9598407749909,0.192620309136675,180260900,50000,-203.394958385194,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
161,3,4.18997190129008,0.228158369609186,181260900,50000,-201.793113359393,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
162,4,3.40608659732743,0.256074086594808,182260900,50000,-193.230716378765,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
163,4,3.89076621444474,0.291123955825266,183260900,50000,-192.03659221504,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
164,7,3.27749437210511,0.263514045324373,184260900,50000,-183.424842597905,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
165,9,3.49455557095004,0.234591214534607,185260900,50000,-193.747110758813,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
166,8,3.11058536849249,0.331525940598283,186260900,50000,-194.487380847555,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
167,9,4.42817163247267,0.24703539120606,187260900,50000,-193.820643666854,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
168,6,3.76062589637956,0.280695362687928,188260900,50000,-176.714566007117,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
169,1,5.1107881550596,0.371739097439517,189260900,50000,-179.380034667983,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
170,4,3.68572855205287,0.361888954005555,190260900,50000,-157.765472378815,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
171,5,4.58510971272603,0.335229382720026,191260900,50000,-193.330383157811,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
172,4,4.65158529466517,0.346467056124575,192260900,50000,-185.067986237195,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
173,3,3.75281284658977,0.272864343731985,193260900,50000,-200.611724792428,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
174,4,3.48451340796942,0.232439017635611,194260900,50000,-188.324448687829,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
175,5,4.32815474523391,0.165765288920363,195260900,50000,-208.344373723688,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
176,4,4.03926313621353,0.268217297033864,196260900,50000,-198.585309427011,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
177,5,4.67063646054874,0.338856094431887,197260900,50000,-188.266057233502,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
178,3,4.59371811320772,0.275353900781025,198260900,50000,-190.911696984291,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
179,7,4.14160099332108,0.255582581443078,199260900,50000,-191.186888595053,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
180,3,4.05449808515917,0.269744504713274,200260900,50000,-202.711278502396,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
181,7,3.99244860427352,0.191524913691775,201260900,50000,-198.962666878191,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
182,7,3.76704818304829,0.39306835457666,202260900,50000,-192.682051192565,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
183,4,3.84569611790806,0.402877317047047,203260900,50000,-186.563849484806,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
