"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,3,6,0.1,4.55429339630618,0.198255966307593,NA,-197.0977748553,0.0260944303645237,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,4,2,0.3,4.76901005817034,0.217384345310768,NA,-197.081509841639,0.0233407299651843,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,5,4,0.3,4.8291336535356,0.197236617396917,NA,-197.118053860188,0.0188023776056967,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,6,6,0.3,4.6333175472231,0.208570954337076,NA,-197.076587410198,0.02855108021744,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,7,2,0.45,4.77765817956514,0.211569339557586,NA,-197.12475224447,0.0255371406712549,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,8,4,0.45,4.65220223804759,0.219709265409033,NA,-197.117858169874,0.0215227303895536,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,9,6,0.45,4.62230869707267,0.193608410850326,NA,-197.101241312462,0.022581621764262,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,1,2,0.1,3.57372510539929,0.390270464854551,NA,-165.67628193034,0.0376077530688071,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,2,4,0.1,3.5556849858964,0.354815553389069,NA,-165.554055397651,0.0217370591708987,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,3,6,0.1,3.54755486947841,0.335475837503967,NA,-165.683016064761,0.0493167921066028,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,4,2,0.3,3.55671430378712,0.384365031563294,NA,-165.620963017806,0.0251093588296057,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,5,4,0.3,3.65131610393897,0.359541085234896,NA,-165.61484424912,0.0539292150327153,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,6,6,0.3,3.75499246055142,0.302958418585208,NA,-165.774474596073,0.0406936394303565,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,7,2,0.45,3.57917613488439,0.400616169975487,NA,-165.693185996021,0.0300359813358475,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,8,4,0.45,3.54779384918547,0.357498609076627,NA,-165.649198514304,0.00840680170963534,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise",600,9,6,0.45,3.41194446326526,0.306951948844471,NA,-165.764194818902,0.0552927489397337,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise",600,1,2,0.1,3.62930170433891,0.18377675414285,NA,-174.059251453135,0.0239318222783807,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise",600,2,4,0.1,3.72268708222531,0.194017890560241,NA,-174.045338229541,0.00736375370340284,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise",600,3,6,0.1,3.65078910410522,0.19346803876956,NA,-174.027286503957,0.0114516167830736,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise",600,4,2,0.3,3.6637858406967,0.194967158130764,NA,-174.04697889848,0.0236939747366843,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise",600,5,4,0.3,3.65993195187957,0.186018543856375,NA,-174.049530104277,0.00493941286425223,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise",600,6,6,0.3,3.59480880423398,0.191756436990882,NA,-174.008088282139,0.0161688006920593,5,"success",NA
