"task_id","model","RSS","RMSE","mean_error","AOB","mean_error_before_5","mean_error_after_5"
68,"gamma_noise",26.8116164631013,0.618888594441697,-0.249132137214799,0.249132137214799,0.0608795845551021,-0.541920985553038
69,"gamma_noise",55.814619429694,0.892945522491986,-0.310545156795056,0.310545156795056,0.190700284100431,-0.783943628751905
70,"gamma_noise",37.1507339131758,0.728508593077821,-0.271160691262551,0.271160691262551,-0.421741553285377,-0.128945432685439
71,"gamma_noise",11.4818646783301,0.405002022540455,-0.0378149966723994,0.0378149966723994,-0.167270135614384,0.0844481901061414
72,"gamma_noise",22.4051428322811,0.565750359286308,0.165339363779915,0.165339363779915,0.0136853292292571,0.308568174188869
73,"gamma_noise",8.61657783602187,0.350847501182532,0.0449033901555548,0.0449033901555548,-0.0388037326843104,0.123960117282094
74,"gamma_noise",14.3848999040986,0.453319501079042,-0.0633183096614247,0.0633183096614247,-0.303316304463466,0.16334646320717
75,"gamma_noise",16.0057410506362,0.478177209390533,-0.260909850612654,0.260909850612654,-0.151801916572211,-0.36395623276196
76,"gamma_noise",20.1033692208586,0.535902032902851,0.0500975789601286,0.0500975789601286,-0.0254348625177168,0.121433773689205
77,"gamma_noise",12.4488020322136,0.42171083580058,0.128660127125256,0.128660127125256,-0.00831404515309796,0.258024623165924
78,"gamma_noise",19.7713421660874,0.531458131210559,0.0772470440584374,0.0772470440584374,-0.164788015580412,0.305835711495129
79,"gamma_noise",9.48645887862159,0.368131554098756,-0.178670188732074,0.178670188732074,-0.177871667966673,-0.17942434723273
