"task_id","model","best_run","best_logLik","second_best_logLik","logLik_gap","n_successful_starts"
138,"constant_B",3,-204.532912326632,-205.188085477117,0.655173150485012,6
139,"constant_B",4,-213.697957068756,-216.566240414164,2.868283345408,6
140,"constant_B",6,-199.890439763433,-199.901684633241,0.0112448698079959,6
141,"constant_B",3,-221.383735286645,-221.480465422086,0.096730135441021,6
142,"constant_B",6,-208.40753045529,-208.621501788494,0.213971333204,6
143,"constant_B",5,-211.436663047916,-211.505272464652,0.0686094167359954,6
144,"constant_B",4,-197.698508188233,-197.73881290346,0.0403047152269949,6
145,"constant_B",6,-210.406127951034,-210.485779174289,0.0796512232550128,6
146,"constant_B",4,-216.165015859644,-217.577726428359,1.412710568715,6
147,"constant_B",5,-213.995505859868,-215.014073444681,1.01856758481301,6
148,"constant_B",5,-224.343067561372,-224.412445030636,0.0693774692639977,6
