"task_id","model_gamma","RSS_gamma","RMSE_gamma","mean_error_gamma","AOB_gamma","mean_error_through_5_gamma","mean_error_after_5_gamma","model_constant","RSS_constant","RMSE_constant","mean_error_constant","AOB_constant","mean_error_through_5_constant","mean_error_after_5_constant","logLik_gamma","logLik_se_gamma","B0_hat_gamma","sigma_beta_hat_gamma","status_gamma","logLik_constant","logLik_se_constant","Beta_hat_constant","status_constant","delta_RSS_gamma_minus_constant","delta_RMSE_gamma_minus_constant","delta_AOB_gamma_minus_constant","delta_logLik_gamma_minus_constant","gamma_lower_RSS","gamma_lower_RMSE","gamma_lower_AOB"
11,"gamma_noise",19.7452759457683,0.531107682729061,0.324495819398569,0.324495819398569,0.131670035566688,0.51732160323045,"constant_B",126.868214729163,1.34625520149765,0.90133404881846,0.90133404881846,-0.0986659511815402,1.90133404881846,-220.047366722123,0.0205583118752732,4.3701129218307,0.235326686441372,"success",-238.048957961768,0.618606716660339,3.90133404881846,"success",-107.122938783395,-0.815147518768589,-0.576838229419891,18.001591239645,TRUE,TRUE,TRUE
12,"gamma_noise",35.6456760516271,0.713599287832235,-0.190139256674929,0.190139256674929,-0.0438439510448918,-0.336434562304967,"constant_B",84.198411179903,1.09673809336012,0.45037145272229,0.45037145272229,-0.54962854727771,1.45037145272229,-192.812784269569,0.021275026386596,4.35638080574245,0.409431109670015,"success",-234.827806832035,0.745598137856026,3.45037145272229,"success",-48.5527351282759,-0.383138805527883,-0.260232196047361,42.015022562466,TRUE,TRUE,TRUE
13,"gamma_noise",21.9209548988677,0.559603876465535,0.322786360099803,0.322786360099803,0.145985155107459,0.499587565092147,"constant_B",158.085057605168,1.50278340614611,1.12176555740855,1.12176555740855,0.12176555740855,2.12176555740855,-197.946453812945,0.0175457780947581,4.31632644601506,0.190985076252914,"success",-210.35658090241,0.390934698228252,4.12176555740855,"success",-136.1641027063,-0.943179529680579,-0.798979197308748,12.410127089465,TRUE,TRUE,TRUE
14,"gamma_noise",18.3629361284721,0.512179323067783,0.230957839009052,0.230957839009052,-0.0299826458263337,0.491898323844438,"constant_B",94.7385157628422,1.16336037754455,0.59448075497917,0.59448075497917,-0.40551924502083,1.59448075497917,-216.033772866638,0.0290696595744433,3.88179193819817,0.287774553221551,"success",-233.59418338899,0.60153228941848,3.59448075497917,"success",-76.3755796343702,-0.651181054476769,-0.363522915970118,17.560410522352,TRUE,TRUE,TRUE
15,"gamma_noise",14.1841811267334,0.450145708580383,0.090880535597218,0.090880535597218,0.0551081460528806,0.126652925141555,"constant_B",118.345269828033,1.30024871152755,0.83105156989747,0.83105156989747,-0.16894843010253,1.83105156989747,-210.256839044469,0.0206985108814936,3.86979617819585,0.285911801165317,"success",-230.359001627506,1.3437339788577,3.83105156989747,"success",-104.1610887013,-0.850103002947166,-0.740171034300252,20.102162583037,TRUE,TRUE,TRUE
16,"gamma_noise",15.2662783129452,0.467000738955445,0.159608718543685,0.159608718543685,-0.01209763333947,0.33131507042684,"constant_B",90.2558163589798,1.13550376711321,0.53793011175085,0.53793011175085,-0.46206988824915,1.53793011175085,-197.07156278386,0.00909030413112875,4.68349112974307,0.201288825925587,"success",-208.813981534278,0.073313494636877,3.53793011175085,"success",-74.9895380460346,-0.668503028157761,-0.378321393207165,11.742418750418,TRUE,TRUE,TRUE
17,"gamma_noise",23.1805014927925,0.575456359184263,-0.280093504082475,0.280093504082475,-0.481687676720426,-0.0784993314445243,"constant_B",71.5784904590846,1.01121207652065,0.15016612035079,0.15016612035079,-0.84983387964921,1.15016612035079,-165.554055397651,0.0217370591708987,3.5556849858964,0.354815553389069,"success",-178.930442520646,0.0437526480517566,3.15016612035079,"success",-48.397988966292,-0.435755717336388,0.129927383731686,13.376387122995,TRUE,TRUE,FALSE
18,"gamma_noise",18.106551656792,0.508591214698462,-0.066182335270125,0.066182335270125,-0.410524512957513,0.278159842417263,"constant_B",72.4134255649892,1.01709267427864,0.18568120010188,0.18568120010188,-0.81431879989812,1.18568120010188,-174.008088282139,0.0161688006920593,3.59480880423398,0.191756436990882,"success",-181.307357540158,0.021072011498875,3.18568120010188,"success",-54.3068739081973,-0.508501459580178,-0.119498864831755,7.299269258019,TRUE,TRUE,TRUE
19,"gamma_noise",23.4571499130119,0.578880075330336,-0.123746909816552,0.123746909816552,0.137529236513098,-0.385023056146203,"constant_B",140.108682273,1.41476238425398,1.00077600086133,1.00077600086133,0.000776000861329784,2.00077600086133,-191.611025372239,0.0150867504598291,4.25430812399156,0.343877372874314,"success",-216.521609126209,1.75231878095471,4.00077600086133,"success",-116.651532359988,-0.83588230892364,-0.877029091044777,24.91058375397,TRUE,TRUE,TRUE
20,"gamma_noise",13.4513064211179,0.438362316242723,0.120169428402923,0.120169428402923,-0.0614662515703252,0.301805108376172,"constant_B",90.3544659271614,1.13612415020267,0.53923843026414,0.53923843026414,-0.46076156973586,1.53923843026414,-206.534665047698,0.0269996352636935,4.01404976636825,0.284970668909206,"success",-225.343653275929,0.476218800920712,3.53923843026414,"success",-76.9031595060435,-0.697761833959945,-0.419069001861217,18.808988228231,TRUE,TRUE,TRUE
