"model","task_id","run","variable","n_tail_points","slope_per_100_iterations","tail_mean","tail_sd"
"constant_B",100,6,"Beta",100,0.0180836356550886,4.30838554296895,0.0054084700551998
"constant_B",150,1,"loglik",99,1.02592810755168,-219.185168320446,2.13579176655718
"constant_B",150,1,"Beta",100,-0.00149102444997546,3.44809408174169,0.00216293358619133
"constant_B",150,2,"loglik",99,0.772631776384954,-217.797404462629,1.63788119357836
"constant_B",150,2,"Beta",100,0.00423900928132488,3.3245484438355,0.00254766753723616
"constant_B",150,3,"loglik",99,0.592286957013074,-218.494543908723,1.84977177733864
"constant_B",150,3,"Beta",100,0.0156862148541311,3.3969170742118,0.00499497382000704
"constant_B",150,4,"loglik",99,0.550745619444474,-218.26556837291,1.74949721088764
"constant_B",150,4,"Beta",100,0.00165715756587561,3.38788793642383,0.00200342256363341
"constant_B",150,5,"loglik",99,-0.103608368460929,-217.713103803707,1.79877998522053
"constant_B",150,5,"Beta",100,-0.0015118761166392,3.34321408193978,0.0036655997597855
"constant_B",150,6,"loglik",99,0.145073996442773,-218.028334128171,2.08038312436267
"constant_B",150,6,"Beta",100,0.00366105331763199,3.40041170220605,0.00174808723257793
"constant_B",200,1,"loglik",99,-0.499623335918977,-235.82297501577,1.40183223676728
"constant_B",200,1,"Beta",100,0.00636084915710504,3.55263558822635,0.00265965722005005
"constant_B",200,2,"loglik",99,-0.0527049326863793,-237.042927566424,1.71018084753342
"constant_B",200,2,"Beta",100,-0.00425908461555778,3.63940705291804,0.00195343603398281
"constant_B",200,3,"loglik",99,-0.545544769662091,-236.295721299351,1.40269069064171
"constant_B",200,3,"Beta",100,0.00797147974304422,3.60777915253374,0.00311232648163889
"constant_B",200,4,"loglik",99,1.00399450552799,-236.327015112622,1.56278393556596
"constant_B",200,4,"Beta",100,-0.00681886508395478,3.62146259956354,0.00369085069979203
"constant_B",200,5,"loglik",99,-0.0120392720392403,-237.768361865396,1.78253828956615
"constant_B",200,5,"Beta",100,0.000162715633151457,3.66629993511862,0.00151881424403674
"constant_B",200,6,"loglik",99,0.644315434643214,-236.411425568329,1.59713325905942
"constant_B",200,6,"Beta",100,-0.0152038767035332,3.59904265735746,0.00484893257094256
