"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_id","start_source","mif_seed","evaluation_seed_base","start_b1","start_b2","start_b3","start_b4","start_b5","start_b6","independently_evaluated_logLik","logLik_se","n_successful_pf_evals","eligible_for_selection","status","error_message","selected"
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,10,10,"random",174271200,174271300,1.01055252989873,0.8903769682948,1.01407716209068,0.690274875723005,1.04677301042941,0.967449437800014,-196.632457851749,0.00694266938366476,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,1,1,"constant_B3",175262200,175262300,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,-188.939682110581,0.00686018739692363,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,2,2,"constant_B4",175263200,175263300,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,-188.933416796774,0.00637070682168087,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,3,3,"declining_B4_to_B2",175264200,175264300,1.38629436111989,1.2476649250079,1.10903548889591,0.970406052783923,0.831776616671934,0.693147180559945,-188.953239040346,0.00223434561228081,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,4,4,"random",175265200,175265300,1.38592733736878,1.43277676559421,1.5752693724935,1.00580521607499,1.11665305426445,1.57442847784646,-188.941657962692,0.0155439759928908,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,5,5,"random",175266200,175266300,0.771796715775021,0.560510368760761,0.593735159954127,0.780192529962067,0.84344122269097,0.46272950197145,-188.956584406156,0.00857072029862791,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,6,6,"random",175267200,175267300,2.07944154167984,1.47996933763065,1.30282457219121,1.43750028659717,0.976185160707941,1.31623755173499,-188.94135524091,0.00890937203136201,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,7,7,"random",175268200,175268300,-0.0682674755455026,0.743553326334254,1.2026302360108,0.190851484167586,0.524522368541363,0.743501591666174,-188.916000259014,0.0112380505949945,5,TRUE,"success",NA,TRUE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,8,8,"random",175269200,175269300,1.32995924937128,1.01208293303424,0.786460849221318,1.66895033077171,1.26676205739101,1.12518330612937,-188.918392214682,0.010838899556961,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,9,9,"random",175270200,175270300,1.59124180618466,1.32492283019624,2.07944154167984,1.50814842822617,1.95847583250108,1.24927889333057,-188.941903643923,0.0148012331032227,5,TRUE,"success",NA,FALSE
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","bspline_B",600,10,10,"random",175271200,175271300,0.607818403589691,0.838514582970743,1.02232866511858,0.909996496881133,1.10494586170566,1.04672003525763,-188.947538176821,0.00788874220695877,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,1,1,"constant_B3",176262200,176262300,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,-158.781538035339,0.0137738799382689,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,2,2,"constant_B4",176263200,176263300,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,-158.458226006434,0.014980018571436,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,3,3,"declining_B4_to_B2",176264200,176264300,1.38629436111989,1.2476649250079,1.10903548889591,0.970406052783923,0.831776616671934,0.693147180559945,-158.607461740814,0.0115369805005107,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,4,4,"random",176265200,176265300,1.13651945835973,1.09584726687197,1.58236307471609,0.82863995535176,1.84532464705169,1.54215282626889,-158.473755015068,0.0186401733377576,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,5,5,"random",176266200,176266300,1.09928816554227,1.47796846541959,1.66271972165695,1.33213506454063,1.6401004837348,1.26658099197376,-158.780237349171,0.0116296910580728,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,6,6,"random",176267200,176267300,1.37814253423326,1.53014791776542,1.67841177995021,1.37595922084273,1.48475417038252,1.71120650767227,-158.782635296752,0.00856776886916202,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,7,7,"random",176268200,176268300,0.799670023646534,1.22347352790293,0.302300815917116,1.45600362064209,1.06861440848028,0.691216955374336,-158.503486714317,0.0153869785156282,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,8,8,"random",176269200,176269300,1.26427081088251,0.805862047543823,1.91850986008865,1.25864103855439,1.65075630433384,1.60481758168413,-158.446415587382,0.00871769866500135,5,TRUE,"success",NA,TRUE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,9,9,"random",176270200,176270300,1.12217848267631,0.854545716843668,0.92114036960314,0.0261188605997623,0.525706163906117,0.546425368373332,-158.686150686479,0.00940392525478582,5,TRUE,"success",NA,FALSE
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","bspline_B",600,10,10,"random",176271200,176271300,1.11545680104507,0.709327141186622,1.29289331204701,1.15343193626651,0.991607066189418,0.329486344620614,-158.478618489811,0.0109579338688247,5,TRUE,"success",NA,FALSE
