"task_id","simulation_seed","observed_data_md5","model","display_model","n_observation_times","RSS","RMSE","mean_error","AOB","mean_error_through_5","mean_error_after_5"
70,1070,"3f39c2020f727aeaa01ef9ba099939bb","gamma_noise","Gamma-noise",70,14.446441830972,0.454288168943962,-0.166594585473763,0.166594585473763,-0.293448503899959,-0.0397406670475683
71,1071,"f8a2941f2630be877dd64b0b25a3e9dd","gamma_noise","Gamma-noise",70,10.7930416300482,0.392665645302321,0.107622256870916,0.107622256870916,0.0956512014577686,0.119593312284064
72,1072,"4ef60d1f950055935545ba4d8849c6a4","gamma_noise","Gamma-noise",70,13.9783854263231,0.446868236033895,-0.0539857591357878,0.0539857591357878,0.0902877440086955,-0.198259262280271
73,1073,"23ed6d0e534e19ffc952e0a9519e96fd","gamma_noise","Gamma-noise",70,9.25171379023299,0.363548263454072,0.158498396552794,0.158498396552794,0.0282011505918366,0.288795642513751
74,1074,"44fe946085f2400c80cee533d6231e9a","gamma_noise","Gamma-noise",70,14.8871054483295,0.461164759035353,0.0317675751754335,0.0317675751754335,-0.178540430653053,0.24207558100392
75,1075,"0d820f5ccbfe13549eea216ee2513074","gamma_noise","Gamma-noise",70,19.2531854609673,0.524447811116842,-0.191364504449129,0.191364504449129,-0.279481032317405,-0.103247976580854
76,1076,"91d5e8bc67046e3d44e7a47924bb3404","gamma_noise","Gamma-noise",70,17.4931041902867,0.499901478726225,0.223709865785013,0.223709865785013,0.0569893431558348,0.390430388414192
77,1077,"4fe16663f3cfd5b374d35dd29d9cdca8","gamma_noise","Gamma-noise",70,8.69028644838911,0.352344929384121,0.0159442075232857,0.0159442075232857,-0.0351722584097872,0.0670606734563586
78,1078,"83a908c8ed5455b6c9ef246884162afc","gamma_noise","Gamma-noise",70,25.7599622216891,0.606629590697523,0.0992308362117447,0.0992308362117447,-0.205586951187223,0.404048623610712
79,1079,"022bd08caeebfca4473b74c3678f71c2","gamma_noise","Gamma-noise",70,14.5759238471809,0.456319497206897,0.0423507384364153,0.0423507384364153,-0.155341186638151,0.240042663510982
80,1080,"0bfd2bd8ee2ddc3923c9cef719215e45","gamma_noise","Gamma-noise",70,16.0766365367143,0.479235053224172,-0.0373985167522401,0.0373985167522401,0.0543935486695537,-0.129190582174034
81,1081,"b3ce4c9c57f114ee806b5ede899e654c","gamma_noise","Gamma-noise",70,16.2906622614821,0.482414496665058,0.105224913543648,0.105224913543648,0.126588653393135,0.083861173694161
82,1082,"345f145ce6e49d5527737547b7d7bcc9","gamma_noise","Gamma-noise",70,23.5067172227394,0.579491368390534,-0.234661621639755,0.234661621639755,0.0290278292348211,-0.498351072514331
