"task_id","simulation_seed","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
116,1116,8,4,0.45,4.52011289632122,0.164906822083617,-200.240511531763,0.0104939414260921,5,"success",NA
116,1116,9,6,0.45,4.56709837652926,0.158707289496268,-200.215342919332,0.00876584910070793,5,"success",NA
117,1117,1,2,0.1,3.81876797929971,0.37199680453161,-184.348569790759,0.034022426918272,5,"success",NA
117,1117,2,4,0.1,3.46917716704312,0.381305004268187,-184.326273945091,0.0242191403049364,5,"success",NA
117,1117,3,6,0.1,3.74131639692026,0.373219409339822,-184.306524519334,0.0241133217319145,5,"success",NA
117,1117,4,2,0.3,3.36606843056744,0.376953996804861,-184.297530480925,0.0201534600723802,5,"success",NA
117,1117,5,4,0.3,3.63446467329719,0.36724547273909,-184.274580117787,0.0251368989546532,5,"success",NA
117,1117,6,6,0.3,3.5377732737842,0.386278091655647,-184.313824942239,0.0193766100302082,5,"success",NA
117,1117,7,2,0.45,3.67414372819149,0.372225540377026,-184.328762768327,0.0218680667636169,5,"success",NA
117,1117,8,4,0.45,3.60587239189116,0.37686062045324,-184.359554842652,0.023967396881023,5,"success",NA
117,1117,9,6,0.45,3.54015384006723,0.361757434208133,-184.297066381097,0.0274197853591867,5,"success",NA
118,1118,1,2,0.1,4.00897213147037,0.297447343965791,-198.777683143967,0.0283403001975564,5,"success",NA
118,1118,2,4,0.1,3.74639414418676,0.2751054092692,-198.690216679152,0.0180479865010711,5,"success",NA
118,1118,3,6,0.1,3.64282812855763,0.286786637514716,-198.75266728613,0.0137760139892525,5,"success",NA
118,1118,4,2,0.3,3.91201599240583,0.272768376198967,-198.654721132339,0.0232600360451884,5,"success",NA
118,1118,5,4,0.3,3.80717893659022,0.258481492684017,-198.666279992683,0.0230122098845688,5,"success",NA
118,1118,6,6,0.3,3.75847327462462,0.277657486973468,-198.731975828096,0.0460999468341274,5,"success",NA
118,1118,7,2,0.45,3.74881103730513,0.307398801873434,-198.763307059254,0.0358853240244877,5,"success",NA
118,1118,8,4,0.45,3.81907124319952,0.244920957163694,-198.742424620149,0.0356226159564878,5,"success",NA
118,1118,9,6,0.45,3.9905293281788,0.294145308215659,-198.751144607303,0.0309116642365866,5,"success",NA
119,1119,1,2,0.1,4.2261274223101,0.235103257533072,-204.891004001425,0.00869595968955278,5,"success",NA
119,1119,2,4,0.1,4.1086298933704,0.2459094771273,-204.933364565743,0.0127179953173347,5,"success",NA
119,1119,3,6,0.1,4.17883737938467,0.229182891090525,-204.919483720353,0.0239373949730013,5,"success",NA
119,1119,4,2,0.3,4.03837124472171,0.233097598869705,-204.907166462524,0.019555927028006,5,"success",NA
119,1119,5,4,0.3,4.24788361013582,0.232132191279158,-204.891442624426,0.0186169292411523,5,"success",NA
119,1119,6,6,0.3,4.31540355676435,0.232000335601923,-204.923422880291,0.0214611147903978,5,"success",NA
119,1119,7,2,0.45,4.42201804672243,0.232196880413931,-204.937548600028,0.0261289788631711,5,"success",NA
119,1119,8,4,0.45,4.12717097009558,0.226967639686457,-204.894779888696,0.0142758574815577,5,"success",NA
119,1119,9,6,0.45,3.94479139684881,0.23666932865524,-204.961306049033,0.0247120830803284,5,"success",NA
120,1120,1,2,0.1,3.42129098603407,0.210918004592123,-183.591238337684,0.0242701175055765,5,"success",NA
120,1120,2,4,0.1,3.28513010561485,0.231599369741961,-183.627624553872,0.0158870336645129,5,"success",NA
120,1120,3,6,0.1,3.15891026431178,0.231093656084612,-183.673671880133,0.0253660168670403,5,"success",NA
120,1120,4,2,0.3,3.33186199659452,0.187966932018262,-183.582634303227,0.00620554176945451,5,"success",NA
120,1120,5,4,0.3,3.31183039008596,0.214374641797207,-183.604841841088,0.0213363001547589,5,"success",NA
120,1120,6,6,0.3,3.28363657004091,0.230777888450522,-183.647376004631,0.0156846353828448,5,"success",NA
120,1120,7,2,0.45,3.42882269635717,0.203958463990866,-183.595529456177,0.0117868371451177,5,"success",NA
120,1120,8,4,0.45,3.4624998171816,0.204503848006974,-183.580895204744,0.0137808519843087,5,"success",NA
120,1120,9,6,0.45,3.16558740602534,0.220582748433607,-183.661827726727,0.023357510663311,5,"success",NA
121,1121,1,2,0.1,4.23392802697531,0.249441788499058,-202.089040871889,0.0173873467169119,5,"success",NA
121,1121,2,4,0.1,4.10895391513552,0.247781045118081,-202.107755605143,0.0153655175318483,5,"success",NA
121,1121,3,6,0.1,4.14977882906022,0.257640327719939,-202.094806682432,0.0280979781388455,5,"success",NA
121,1121,4,2,0.3,4.1085773144969,0.259250458146668,-202.14947183361,0.00832655953171053,5,"success",NA
121,1121,5,4,0.3,4.26538861249365,0.25078786841752,-202.084552385679,0.0148502237838001,5,"success",NA
121,1121,6,6,0.3,4.2370797704085,0.253315372794236,-202.097450048425,0.011366411681659,5,"success",NA
121,1121,7,2,0.45,4.19739985299059,0.248017531725897,-202.101297448598,0.0206039059875743,5,"success",NA
121,1121,8,4,0.45,4.38885588377253,0.269353098507547,-202.148348336506,0.00887092428636395,5,"success",NA
121,1121,9,6,0.45,4.03428878863035,0.246227336115865,-202.116127526558,0.0184317868113474,5,"success",NA
122,1122,1,2,0.1,4.16204742200724,0.261390123120467,-181.923745451342,0.0181290190932939,5,"success",NA
122,1122,2,4,0.1,4.23648911976732,0.26666237161929,-181.947586779193,0.0263224810879299,5,"success",NA
