"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","start_Beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
22,1022,1,"37fb1b826b530c406841fb3dc0dd2a19","constant_B",600,3,NA,NA,3,NA,NA,3.56418490372122,-203.671040620131,0.154975274781244,5,"success",NA
22,1022,1,"37fb1b826b530c406841fb3dc0dd2a19","constant_B",600,4,NA,NA,4,NA,NA,3.64624886397019,-203.795156193454,0.151503321305804,5,"success",NA
22,1022,1,"37fb1b826b530c406841fb3dc0dd2a19","constant_B",600,5,NA,NA,5,NA,NA,3.56983174975448,-203.776518385766,0.108222085628426,5,"success",NA
22,1022,1,"37fb1b826b530c406841fb3dc0dd2a19","constant_B",600,6,NA,NA,6,NA,NA,3.58673312382063,-203.619864754283,0.260676763861588,5,"success",NA
23,1023,1,"5391b651cef3ef3752fc04bfb4f6d8ab","constant_B",600,1,NA,NA,1,NA,NA,3.8865184959339,-204.668426485609,0.325188232589073,5,"success",NA
23,1023,1,"5391b651cef3ef3752fc04bfb4f6d8ab","constant_B",600,2,NA,NA,2,NA,NA,3.8166722757479,-204.802334709045,0.189902198728945,5,"success",NA
23,1023,1,"5391b651cef3ef3752fc04bfb4f6d8ab","constant_B",600,3,NA,NA,3,NA,NA,3.81959113177682,-205.093942706466,0.0891597810687918,5,"success",NA
23,1023,1,"5391b651cef3ef3752fc04bfb4f6d8ab","constant_B",600,4,NA,NA,4,NA,NA,3.86898828642278,-204.599141349803,0.55174012810617,5,"success",NA
23,1023,1,"5391b651cef3ef3752fc04bfb4f6d8ab","constant_B",600,5,NA,NA,5,NA,NA,3.84133364117703,-204.57801712406,0.261194841577412,5,"success",NA
23,1023,1,"5391b651cef3ef3752fc04bfb4f6d8ab","constant_B",600,6,NA,NA,6,NA,NA,3.88150703494757,-205.08573961332,0.134697610624083,5,"success",NA
24,1024,1,"f17101a77a91a5858651ca092461a15e","constant_B",600,1,NA,NA,1,NA,NA,3.41709386565766,-214.057588423817,0.148464563746682,5,"success",NA
24,1024,1,"f17101a77a91a5858651ca092461a15e","constant_B",600,2,NA,NA,2,NA,NA,3.40024843641792,-213.742520899471,0.495989229872086,5,"success",NA
24,1024,1,"f17101a77a91a5858651ca092461a15e","constant_B",600,3,NA,NA,3,NA,NA,3.37520858642109,-213.965889508031,0.546023557919323,5,"success",NA
24,1024,1,"f17101a77a91a5858651ca092461a15e","constant_B",600,4,NA,NA,4,NA,NA,3.48911934392935,-215.014614310466,0.405014992148613,5,"success",NA
24,1024,1,"f17101a77a91a5858651ca092461a15e","constant_B",600,5,NA,NA,5,NA,NA,3.40457864210465,-214.043351910613,0.173458280624568,5,"success",NA
24,1024,1,"f17101a77a91a5858651ca092461a15e","constant_B",600,6,NA,NA,6,NA,NA,3.35857477392809,-213.46269748818,0.286656214365612,5,"success",NA
25,1025,1,"5bffd9597ff51651a7b3c018b0060e43","constant_B",600,1,NA,NA,1,NA,NA,3.69475195832774,-210.810878571969,0.888068782225898,5,"success",NA
25,1025,1,"5bffd9597ff51651a7b3c018b0060e43","constant_B",600,2,NA,NA,2,NA,NA,3.65303325530262,-210.938049374499,0.151047072991787,5,"success",NA
25,1025,1,"5bffd9597ff51651a7b3c018b0060e43","constant_B",600,3,NA,NA,3,NA,NA,3.62975884978758,-210.211696250204,0.586773416272041,5,"success",NA
