"experiment","task_id","task_label","illustration_role","week","quantity","series_key","value","is_time_zero","estimate_semantics","conditioning","time_zero_semantics","series_label"
4,1,"Task 1","previously_designated_primary_illustration",9.85714285714286,"B","gamma",1.74933075846877,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",10,"B","gamma",1.72072520479078,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0,"B","constant",4.04534940404491,TRUE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.142857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.285714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.428571428571429,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.571428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.714285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",0.857142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.28571428571429,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.42857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.57142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.71428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",1.85714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.28571428571429,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.42857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.57142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.71428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",2.85714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.28571428571429,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.42857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.57142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.71428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",3.85714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.28571428571429,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.42857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.57142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.71428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",4.85714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.28571428571429,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.42857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.57142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.71428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.85714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.28571428571429,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.42857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.57142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.71428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.85714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.28571428571429,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.42857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.57142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.71428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.85714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.28571428571428,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.42857142857143,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.57142857142857,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.71428571428571,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.85714285714286,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",9,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",9.14285714285714,"B","constant",4.04534940404491,FALSE,"fitted_static_parameter","Y_1:70","fitted_Beta","Constant-B conditioned trajectory"
